num;repet;Climat;Rotation;Date_semis;Densite_semis;cov.nb;niv_RQ;pertes_rdt_3seeds
111;1;2;20;1;55;2;1;11.33231428
112;1;2;20;1;25;2;1;12.0361384
113;1;2;20;0;55;1.5;1;11.13115058
114;1;2;20;0;25;1.5;1;11.22033778
115;1;2;20;1;55;1.5;1;12.48720112
116;1;2;20;1;25;1.5;1;12.95612356
117;1;2;20;0;55;2.5;1;7.944125972
118;1;2;20;0;25;2.5;1;8.091025046
119;1;2;20;1;55;2.5;1;10.41859571
120;1;2;20;1;25;2.5;1;11.30524715
121;1;2;20;0;55;2;1.4;5.809858333
122;1;2;20;0;25;2;1.4;5.891386184
123;1;2;20;1;55;2;1.4;7.901925201
124;1;2;20;1;25;2;1.4;8.357560035
125;1;2;20;0;55;1.5;1.4;7.237413838
126;1;2;20;0;25;1.5;1.4;7.298085083
127;1;2;20;1;55;1.5;1.4;8.815575001
128;1;2;20;1;25;1.5;1.4;9.139943647
129;1;2;20;0;55;2.5;1.4;4.682991152
130;1;2;20;0;25;2.5;1.4;4.801196077
131;1;2;20;1;55;2.5;1.4;7.100960322
132;1;2;20;1;25;2.5;1.4;7.635122154
133;1;2;20;0;55;2;1.6;4.673290787
134;1;2;20;0;25;2;1.6;4.511643206
135;1;2;20;1;55;2;1.6;6.474239684
136;1;2;20;1;25;2;1.6;6.910879818
137;1;2;20;0;55;1.5;1.6;6.046294255
138;1;2;20;0;25;1.5;1.6;6.111362598
139;1;2;20;1;55;1.5;1.6;7.406096207
140;1;2;20;1;25;1.5;1.6;7.725932421
141;1;2;20;0;55;2.5;1.6;3.733900188
142;1;2;20;0;25;2.5;1.6;3.708885954
143;1;2;20;1;55;2.5;1.6;5.658954412
144;1;2;20;1;25;2.5;1.6;6.174991977
145;1;2;10;0;55;2;1.85;2.397832087
146;1;2;10;0;25;2;1.85;2.34910681
147;1;2;10;1;55;2;1.85;2.684208743
148;1;2;10;1;25;2;1.85;2.921618577
149;1;2;10;0;55;1.5;1.85;3.123387692
150;1;2;10;0;25;1.5;1.85;3.291676189
151;1;2;10;1;55;1.5;1.85;3.528431673
152;1;2;10;1;25;1.5;1.85;3.691295561
153;1;2;10;0;55;2.5;1.85;1.844119749
154;1;2;10;0;25;2.5;1.85;1.92650686
155;1;2;10;1;55;2.5;1.85;2.199787508
156;1;2;10;1;25;2.5;1.85;2.426952616
157;1;2;10;0;55;2;1;6.202288435
158;1;2;10;0;25;2;1;6.597244041
159;1;2;10;1;55;2;1;7.379452288
160;1;2;10;1;25;2;1;7.758082578
161;1;2;10;0;55;1.5;1;8.714410246
162;1;2;10;0;25;1.5;1;8.856402328
163;1;2;10;1;55;1.5;1;9.27612982
164;1;2;10;1;25;1.5;1;9.671804544
165;1;2;10;0;55;2.5;1;4.803067138
166;1;2;10;0;25;2.5;1;5.165834423
167;1;2;10;1;55;2.5;1;5.773242431
168;1;2;10;1;25;2.5;1;6.396389348
169;1;2;10;0;55;2;1.4;4.817550989
170;1;2;10;0;25;2;1.4;5.319639042
171;1;2;10;1;55;2;1.4;6.042727313
172;1;2;10;1;25;2;1.4;6.368631261
173;1;2;10;0;55;1.5;1.4;6.654928417
174;1;2;10;0;25;1.5;1.4;6.984795718
175;1;2;10;1;55;1.5;1.4;7.684279753
176;1;2;10;1;25;1.5;1.4;8.023789868
177;1;2;10;0;55;2.5;1.4;3.896907191
178;1;2;10;0;25;2.5;1.4;4.189626133
179;1;2;10;1;55;2.5;1.4;4.307183064
180;1;2;10;1;25;2.5;1.4;4.783734951
181;1;2;10;0;55;2;1.6;3.068562584
182;1;2;10;0;25;2;1.6;3.311028792
183;1;2;10;1;55;2;1.6;3.898906538
184;1;2;10;1;25;2;1.6;3.973812198
185;1;2;10;0;55;1.5;1.6;4.896921967
186;1;2;10;0;25;1.5;1.6;5.232600542
187;1;2;10;1;55;1.5;1.6;5.576681198
188;1;2;10;1;25;1.5;1.6;5.706526984
189;1;2;10;0;55;2.5;1.6;2.398670507
190;1;2;10;0;25;2.5;1.6;2.48937517
